Parameter,Value
dot_x,207
dot_y,120
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:23:45.360Z
group_id,capture-1744860225005
pitch,-0.08
yaw,-0.1
roll,0
face_min_position_x,6
face_min_position_y,61
face_max_position_x,548
face_max_position_y,708
left_eye_position_x,399
left_eye_position_y,277
right_eye_position_x,189
right_eye_position_y,273
center_between_eyes_x,294
center_between_eyes_y,275
left_eye_box_min_x,343
left_eye_box_min_y,255
left_eye_box_max_x,455
left_eye_box_max_y,295
right_eye_box_min_x,131
right_eye_box_min_y,251
right_eye_box_max_x,248
right_eye_box_max_y,290
left_iris_center_x,399
left_iris_center_y,273
right_iris_center_x,195
right_iris_center_y,269
left_iris_min_x,378
left_iris_min_y,254
left_iris_max_x,420
left_iris_max_y,294
right_iris_min_x,173
right_iris_min_y,249
right_iris_max_x,217
right_iris_max_y,290
left_eye_state,Open
left_eye_ear,0.295
right_eye_state,Open
right_eye_ear,0.296
distance_cm_from_face,30
distance_cm_from_eye,33.39
chin_depth,31.19
posture,Looking Straight
gaze_direction,Looking Straight
