Parameter,Value
dot_x,449
dot_y,740
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:24:50.541Z
group_id,capture-1744860290174
pitch,-0.07
yaw,-0.01
roll,-0.01
face_min_position_x,0
face_min_position_y,75
face_max_position_x,540
face_max_position_y,713
face_min_position_x,0
face_min_position_y,75
face_max_position_x,540
face_max_position_y,713
face_width,540
face_height,638
left_eye_position_x,378
left_eye_position_y,289
right_eye_position_x,170
right_eye_position_y,284
center_between_eyes_x,274
center_between_eyes_y,286
left_eye_box_min_x,321
left_eye_box_min_y,268
left_eye_box_max_x,434
left_eye_box_max_y,307
right_eye_box_min_x,115
right_eye_box_min_y,264
right_eye_box_max_x,226
right_eye_box_max_y,300
left_iris_center_x,378
left_iris_center_y,286
right_iris_center_x,175
right_iris_center_y,280
left_iris_min_x,357
left_iris_min_y,268
left_iris_max_x,399
left_iris_max_y,306
right_iris_min_x,154
right_iris_min_y,261
right_iris_max_x,197
right_iris_max_y,300
left_eye_state,Open
left_eye_ear,0.287
right_eye_state,Open
right_eye_ear,0.277
distance_cm_from_face,30
distance_cm_from_eye,33.39
chin_depth,31.15
posture,Looking Straight
gaze_direction,Looking Straight
