Parameter,Value
dot_x,1023
dot_y,544
canvas_width,1712
canvas_height,880
window_width,1728
window_height,1000
timestamp,2025-04-17T03:53:13.918Z
group_id,capture-1744861993572
pitch,-0.28
yaw,0.07
roll,-0.02
face_min_position_x,4
face_min_position_y,67
face_max_position_x,733
face_max_position_y,928
left_eye_position_x,496
left_eye_position_y,361
right_eye_position_x,211
right_eye_position_y,354
center_between_eyes_x,353
center_between_eyes_y,357
left_eye_box_min_x,418
left_eye_box_min_y,334
left_eye_box_max_x,573
left_eye_box_max_y,384
right_eye_box_min_x,142
right_eye_box_min_y,329
right_eye_box_max_x,281
right_eye_box_max_y,373
left_iris_center_x,491
left_iris_center_y,356
right_iris_center_x,212
right_iris_center_y,348
left_iris_min_x,462
left_iris_min_y,330
left_iris_max_x,522
left_iris_max_y,383
right_iris_min_x,184
right_iris_min_y,323
right_iris_max_x,241
right_iris_max_y,375
left_eye_state,Open
left_eye_ear,0.284
right_eye_state,Open
right_eye_ear,0.291
distance_cm_from_face,30
distance_cm_from_eye,33.4
chin_depth,31.14
posture,Looking Straight
gaze_direction,Looking Straight
