Parameter,Value
dot_x,1521
dot_y,120
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:23:55.480Z
group_id,capture-1744860235108
pitch,-0.01
yaw,0.17
roll,0.02
face_min_position_x,0
face_min_position_y,69
face_max_position_x,552
face_max_position_y,714
face_min_position_x,0
face_min_position_y,69
face_max_position_x,552
face_max_position_y,714
face_width,552
face_height,645
left_eye_position_x,346
left_eye_position_y,281
right_eye_position_x,142
right_eye_position_y,286
center_between_eyes_x,244
center_between_eyes_y,283
left_eye_box_min_x,285
left_eye_box_min_y,257
left_eye_box_max_x,410
left_eye_box_max_y,299
right_eye_box_min_x,91
right_eye_box_min_y,263
right_eye_box_max_x,197
right_eye_box_max_y,302
left_iris_center_x,344
left_iris_center_y,276
right_iris_center_x,143
right_iris_center_y,281
left_iris_min_x,322
left_iris_min_y,257
left_iris_max_x,366
left_iris_max_y,297
right_iris_min_x,122
right_iris_min_y,262
right_iris_max_x,164
right_iris_max_y,302
left_eye_state,Open
left_eye_ear,0.281
right_eye_state,Open
right_eye_ear,0.307
distance_cm_from_face,30
distance_cm_from_eye,33.32
chin_depth,31.16
posture,Looking Straight
gaze_direction,Looking Straight
