Parameter,Value
dot_x,1521
dot_y,880
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:24:20.521Z
group_id,capture-1744860260161
pitch,-0.12
yaw,0.08
roll,0
face_min_position_x,0
face_min_position_y,60
face_max_position_x,544
face_max_position_y,700
face_min_position_x,0
face_min_position_y,60
face_max_position_x,544
face_max_position_y,700
face_width,544
face_height,640
left_eye_position_x,356
left_eye_position_y,268
right_eye_position_x,150
right_eye_position_y,267
center_between_eyes_x,253
center_between_eyes_y,267
left_eye_box_min_x,296
left_eye_box_min_y,247
left_eye_box_max_x,418
left_eye_box_max_y,286
right_eye_box_min_x,97
right_eye_box_min_y,247
right_eye_box_max_x,207
right_eye_box_max_y,283
left_iris_center_x,353
left_iris_center_y,264
right_iris_center_x,149
right_iris_center_y,262
left_iris_min_x,331
left_iris_min_y,245
left_iris_max_x,375
left_iris_max_y,284
right_iris_min_x,128
right_iris_min_y,243
right_iris_max_x,170
right_iris_max_y,282
left_eye_state,Open
left_eye_ear,0.262
right_eye_state,Open
right_eye_ear,0.297
distance_cm_from_face,30
distance_cm_from_eye,33.38
chin_depth,31.23
posture,Looking Straight
gaze_direction,Looking Straight
