Parameter,Value
dot_x,449
dot_y,500
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:24:40.541Z
group_id,capture-1744860280184
pitch,-0.06
yaw,-0.02
roll,0
face_min_position_x,0
face_min_position_y,66
face_max_position_x,536
face_max_position_y,706
face_min_position_x,0
face_min_position_y,66
face_max_position_x,536
face_max_position_y,706
face_width,536
face_height,640
left_eye_position_x,377
left_eye_position_y,279
right_eye_position_x,169
right_eye_position_y,275
center_between_eyes_x,273
center_between_eyes_y,277
left_eye_box_min_x,320
left_eye_box_min_y,257
left_eye_box_max_x,435
left_eye_box_max_y,296
right_eye_box_min_x,113
right_eye_box_min_y,255
right_eye_box_max_x,226
right_eye_box_max_y,292
left_iris_center_x,377
left_iris_center_y,275
right_iris_center_x,174
right_iris_center_y,272
left_iris_min_x,356
left_iris_min_y,257
left_iris_max_x,398
left_iris_max_y,295
right_iris_min_x,152
right_iris_min_y,253
right_iris_max_x,196
right_iris_max_y,293
left_eye_state,Open
left_eye_ear,0.277
right_eye_state,Open
right_eye_ear,0.275
distance_cm_from_face,30
distance_cm_from_eye,33.45
chin_depth,31.19
posture,Looking Straight
gaze_direction,Looking Straight
