Parameter,Value
dot_x,1279
dot_y,500
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:24:45.541Z
group_id,capture-1744860285188
pitch,-0.1
yaw,0.05
roll,0
face_min_position_x,0
face_min_position_y,62
face_max_position_x,535
face_max_position_y,704
face_min_position_x,0
face_min_position_y,62
face_max_position_x,535
face_max_position_y,704
face_width,535
face_height,642
left_eye_position_x,357
left_eye_position_y,272
right_eye_position_x,151
right_eye_position_y,271
center_between_eyes_x,254
center_between_eyes_y,271
left_eye_box_min_x,298
left_eye_box_min_y,250
left_eye_box_max_x,416
left_eye_box_max_y,289
right_eye_box_min_x,98
right_eye_box_min_y,251
right_eye_box_max_x,207
right_eye_box_max_y,287
left_iris_center_x,354
left_iris_center_y,267
right_iris_center_x,152
right_iris_center_y,266
left_iris_min_x,333
left_iris_min_y,248
left_iris_max_x,376
left_iris_max_y,287
right_iris_min_x,132
right_iris_min_y,247
right_iris_max_x,174
right_iris_max_y,286
left_eye_state,Open
left_eye_ear,0.27
right_eye_state,Open
right_eye_ear,0.296
distance_cm_from_face,30
distance_cm_from_eye,33.4
chin_depth,31.22
posture,Looking Straight
gaze_direction,Looking Straight
