Parameter,Value
dot_x,1554
dot_y,641
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:52:59.450Z
group_id,capture-1744861976062
pitch,-0.67
yaw,0.1
roll,0.01
face_min_position_x,0
face_min_position_y,62
face_max_position_x,700
face_max_position_y,848
face_min_position_x,0
face_min_position_y,62
face_max_position_x,700
face_max_position_y,848
face_width,700
face_height,786
left_eye_position_x,457
left_eye_position_y,347
right_eye_position_x,192
right_eye_position_y,351
center_between_eyes_x,324
center_between_eyes_y,349
left_eye_box_min_x,382
left_eye_box_min_y,321
left_eye_box_max_x,537
left_eye_box_max_y,373
right_eye_box_min_x,123
right_eye_box_min_y,327
right_eye_box_max_x,261
right_eye_box_max_y,375
left_iris_center_x,450
left_iris_center_y,342
right_iris_center_x,187
right_iris_center_y,346
left_iris_min_x,422
left_iris_min_y,317
left_iris_max_x,479
left_iris_max_y,369
right_iris_min_x,160
right_iris_min_y,321
right_iris_max_x,215
right_iris_max_y,372
left_eye_state,Open
left_eye_ear,0.32
right_eye_state,Open
right_eye_ear,0.361
distance_cm_from_face,30
distance_cm_from_eye,33.43
chin_depth,30.97
posture,Looking Straight
gaze_direction,Looking Straight
