Parameter,Value
dot_x,864
dot_y,260
canvas_width,1728
canvas_height,1000
window_width,1728
window_height,1000
timestamp,2025-04-17T03:24:30.533Z
group_id,capture-1744860270164
pitch,-0.05
yaw,0.01
roll,0
face_min_position_x,0
face_min_position_y,53
face_max_position_x,540
face_max_position_y,692
face_min_position_x,0
face_min_position_y,53
face_max_position_x,540
face_max_position_y,692
face_width,540
face_height,639
left_eye_position_x,374
left_eye_position_y,267
right_eye_position_x,165
right_eye_position_y,263
center_between_eyes_x,269
center_between_eyes_y,265
left_eye_box_min_x,316
left_eye_box_min_y,245
left_eye_box_max_x,433
left_eye_box_max_y,285
right_eye_box_min_x,110
right_eye_box_min_y,241
right_eye_box_max_x,223
right_eye_box_max_y,280
left_iris_center_x,372
left_iris_center_y,263
right_iris_center_x,169
right_iris_center_y,259
left_iris_min_x,351
left_iris_min_y,244
left_iris_max_x,394
left_iris_max_y,284
right_iris_min_x,147
right_iris_min_y,239
right_iris_max_x,191
right_iris_max_y,280
left_eye_state,Open
left_eye_ear,0.277
right_eye_state,Open
right_eye_ear,0.292
distance_cm_from_face,30
distance_cm_from_eye,33.43
chin_depth,31.23
posture,Looking Straight
gaze_direction,Looking Straight
