Parameter,Value
dot_x,1179
dot_y,37
canvas_width,1621
canvas_height,726
window_width,1637
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-16T05:57:12.933Z
group_id,capture-1758002232379
face_detected,True
pitch,-0.199
yaw,0.151
roll,0.106
face_min_position_x,232
face_min_position_y,91
face_max_position_x,402
face_max_position_y,297
left_eye_box_min_x,314
left_eye_box_min_y,154
left_eye_box_max_x,361
left_eye_box_max_y,178
right_eye_box_min_x,256
right_eye_box_min_y,164
right_eye_box_max_x,296
right_eye_box_max_y,184
left_iris_center_x,336
left_iris_center_y,165
right_iris_center_x,276
right_iris_center_y,173
left_iris_box_min_x,329
left_iris_box_min_y,158
left_iris_box_max_x,345
left_iris_box_max_y,172
right_iris_box_min_x,269
right_iris_box_min_y,166
right_iris_box_max_x,284
right_iris_box_max_y,180
left_eye_position_x,337
left_eye_position_y,166
right_eye_position_x,275
right_eye_position_y,174
center_between_eyes_x,306
center_between_eyes_y,170
left_eye_state,Open
left_eye_ear,0.306
right_eye_state,Open
right_eye_ear,0.335
distance_cm_from_face,43.93
distance_cm_from_eye,45.175
chin_depth,44.64
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-16T06:20:49.257726
