Parameter,Value
dot_x,726
dot_y,590
canvas_width,1621
canvas_height,726
window_width,1637
window_height,846
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-16T05:37:54.191Z
group_id,capture-1758001073626
face_detected,True
pitch,-0.243
yaw,0.054
roll,0.19
face_min_position_x,179
face_min_position_y,63
face_max_position_x,398
face_max_position_y,322
left_eye_box_min_x,293
left_eye_box_min_y,144
left_eye_box_max_x,346
left_eye_box_max_y,173
right_eye_box_min_x,219
right_eye_box_min_y,163
right_eye_box_max_x,266
right_eye_box_max_y,185
left_iris_center_x,318
left_iris_center_y,156
right_iris_center_x,243
right_iris_center_y,172
left_iris_box_min_x,309
left_iris_box_min_y,148
left_iris_box_max_x,328
left_iris_box_max_y,165
right_iris_box_min_x,235
right_iris_box_min_y,164
right_iris_box_max_x,253
right_iris_box_max_y,181
left_eye_position_x,319
left_eye_position_y,157
right_eye_position_x,242
right_eye_position_y,174
center_between_eyes_x,280
center_between_eyes_y,165
left_eye_state,Open
left_eye_ear,0.301
right_eye_state,Open
right_eye_ear,0.303
distance_cm_from_face,34.77
distance_cm_from_eye,36.0
chin_depth,35.44
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-16T06:20:49.195980
