Parameter,Value
dot_x,655
dot_y,266
canvas_width,1661
canvas_height,813
window_width,1677
window_height,933
webcam_resolution_width,640
webcam_resolution_height,480
timestamp,2025-09-16T05:30:59.464Z
group_id,capture-1758000658880
face_detected,True
pitch,-0.269
yaw,0.044
roll,0.173
face_min_position_x,194
face_min_position_y,56
face_max_position_x,415
face_max_position_y,320
left_eye_box_min_x,310
left_eye_box_min_y,138
left_eye_box_max_x,365
left_eye_box_max_y,168
right_eye_box_min_x,233
right_eye_box_min_y,157
right_eye_box_max_x,282
right_eye_box_max_y,180
left_iris_center_x,337
left_iris_center_y,151
right_iris_center_x,259
right_iris_center_y,167
left_iris_box_min_x,328
left_iris_box_min_y,142
left_iris_box_max_x,347
left_iris_box_max_y,160
right_iris_box_min_x,250
right_iris_box_min_y,158
right_iris_box_max_x,269
right_iris_box_max_y,176
left_eye_position_x,337
left_eye_position_y,152
right_eye_position_x,257
right_eye_position_y,169
center_between_eyes_x,297
center_between_eyes_y,160
left_eye_state,Open
left_eye_ear,0.318
right_eye_state,Open
right_eye_ear,0.338
distance_cm_from_face,33.43
distance_cm_from_eye,34.66
chin_depth,34.08
posture,Looking Straight
gaze_direction,Looking Straight
processing_time,2025-09-16T06:20:49.071807
